NOUN	NOUN_weight	PROPN	PROPN_weight	VERB	VERB_weight	KeyBert	KeyBert_weight
						internal	0.00909090909090909
						alternatively	0.00909090909090909
						jams	0.00909090909090909
						seek	0.00909090909090909
						principles	0.00909090909090909
						condition	0.00909090909090909
						resolution	0.00909090909090909
						certain	0.02727272727272727
						accountability	0.00909090909090909
						union	0.01818181818181818
						unsatisfied	0.01818181818181818
						treat	0.00909090909090909
						reach	0.00909090909090909
						solve	0.00909090909090909
						ask	0.00909090909090909
						attempt	0.00909090909090909
						edpb	0.00909090909090909
						adequately	0.00909090909090909
						promptly	0.00909090909090909
						members_en	0.00909090909090909
						attention	0.00909090909090909
						available	0.00909090909090909
						board	0.00909090909090909
						list	0.00909090909090909
						hope	0.00909090909090909
						feel	0.01818181818181818
						acknowledgement	0.00909090909090909
						timely	0.00909090909090909
						urlfor	0.00909090909090909
						visit	0.00909090909090909
						satisfactorily	0.00909090909090909
						bbb	0.00909090909090909
						provide	0.01818181818181818
						cost	0.00909090909090909
						18	0.00909090909090909
						following	0.00909090909090909
						base	0.00909090909090909
						description	0.00909090909090909
						brief	0.00909090909090909
						specific	0.00909090909090909
						nature	0.00909090909090909
						able	0.00909090909090909
						principle	0.00909090909090909
						indicate	0.00909090909090909
						constitute	0.00909090909090909
						provision	0.00909090909090909
						authorityabout	0.00909090909090909
						polish	0.00909090909090909
						case	0.00909090909090909
						huuuges	0.00909090909090909
						cthe	0.00909090909090909
						president	0.00909090909090909
						ofdata	0.00909090909090909
						platonova	0.00909090909090909
						20b	0.00909090909090909
						mail	0.00909090909090909
						112	0.00909090909090909
						cheshire	0.00909090909090909
						wycliffe	0.00909090909090909
						wilmslow	0.00909090909090909
						house	0.00909090909090909
						water	0.00909090909090909
						lane	0.00909090909090909
						5af	0.00909090909090909
						sk9	0.00909090909090909
						tgtg	0.00909090909090909
						activity	0.00909090909090909
						jurisdiction	0.00909090909090909
						reply	0.00909090909090909
						refer	0.00909090909090909
						conjunction	0.00909090909090909
						properly	0.00909090909090909
						datainspektionen	0.00909090909090909
						swedish	0.00909090909090909
						free	0.00909090909090909
